SSS Raw Data, F-869.525 BW-125 SF-9 CR-0.5 TPW-24 Rovers-10 CTRL-1
		 Rover
Time	0x	0y	0v	-	 1x	1y	1v	-	 2x	2y	2v	-	 3x	3y	3v	-	 4x	4y	4v	-	 5x	5y	5v	-	 6x	6y	6v	-	 7x	7y	7v	-	 8x	8y	8v	-	 9x	9y	9v	-	 
0.0	425475.0,100005.005,0.5-425925.0,100005.0082423513,0.5-426375.0,100005.01647920323,0.5-426825.0,100005.01432100666,0.5-427275.0,100005.01960979395,0.5-427725.0,100005.01824190082,0.5-428175.0,100005.02136317072,0.5-428625.0,100005.01314308491,0.5-429075.0,100005.01216156753,0.5-429525.0,100005.00648575377,0.5-
0.1	425475.0,100005.01000000001,0.5-425925.0,100005.04648470259,0.5-426375.0,100005.06295840646,0.5-426825.0,100005.05864201332,0.5-427275.0,100005.0692195879,0.5-427725.0,100005.06648380165,0.5-428175.0,100005.07272634143,0.5-428625.0,100005.05628616983,0.5-429075.0,100005.05432313506,0.5-429525.0,100005.04297150753,0.5-
0.2	425475.0,100005.01500000001,0.5-425925.0,100005.08472705388,0.5-426375.0,100005.10943760969,0.5-426825.0,100005.10296301998,0.5-427275.0,100005.11882938184,0.5-427725.0,100005.11472570249,0.5-428175.0,100005.12408951214,0.5-428625.0,100005.09942925474,0.5-429075.0,100005.09648470259,0.5-429525.0,100005.0794572613,0.5-
0.3	425475.0,100005.02000000002,0.5-425925.0,100005.12296940517,0.5-426375.0,100005.15591681292,0.5-426825.0,100005.14728402664,0.5-427275.0,100005.16843917579,0.5-427725.0,100005.16296760332,0.5-428175.0,100005.17545268286,0.5-428625.0,100005.14257233965,0.5-429075.0,100005.13864627012,0.5-429525.0,100005.11594301506,0.5-
0.4	425475.0,100005.02500000002,0.5-425925.0,100005.16121175647,0.5-426375.0,100005.20239601615,0.5-426825.0,100005.1916050333,0.5-427275.0,100005.21804896973,0.5-427725.0,100005.21120950415,0.5-428175.0,100005.22681585357,0.5-428625.0,100005.18571542457,0.5-429075.0,100005.18080783765,0.5-429525.0,100005.15242876882,0.5-
0.5	425475.0,100005.03000000003,0.5-425925.0,100005.19945410776,0.5-426375.0,100005.24887521937,0.5-426825.0,100005.23592603995,0.5-427275.0,100005.26765876368,0.5-427725.0,100005.25945140499,0.5-428175.0,100005.27817902429,0.5-428625.0,100005.22885850948,0.5-429075.0,100005.22296940518,0.5-429525.0,100005.18891452259,0.5-
0.6	425475.0,100005.03500000003,0.5-425925.0,100005.23769645905,0.5-426375.0,100005.2953544226,0.5-426825.0,100005.28024704661,0.5-427275.0,100005.31726855763,0.5-427725.0,100005.30769330582,0.5-428175.0,100005.329542195,0.5-428625.0,100005.27200159439,0.5-429075.0,100005.26513097271,0.5-429525.0,100005.22540027635,0.5-
0.7	425475.0,100005.04000000004,0.5-425925.0,100005.27593881034,0.5-426375.0,100005.34183362583,0.5-426825.0,100005.32456805327,0.5-427275.0,100005.36687835157,0.5-427725.0,100005.35593520665,0.5-428175.0,100005.38090536572,0.5-428625.0,100005.3151446793,0.5-429075.0,100005.30729254024,0.5-429525.0,100005.26188603012,0.5-
0.8	425475.0,100005.04500000004,0.5-425925.0,100005.31418116164,0.5-426375.0,100005.38831282906,0.5-426825.0,100005.36888905993,0.5-427275.0,100005.41648814552,0.5-427725.0,100005.40417710748,0.5-428175.0,100005.43226853643,0.5-428625.0,100005.35828776422,0.5-429075.0,100005.34945410777,0.5-429525.0,100005.29837178388,0.5-
0.9	425475.0,100005.05000000005,0.5-425925.0,100005.35242351293,0.5-426375.0,100005.43479203229,0.5-426825.0,100005.41321006659,0.5-427275.0,100005.46609793947,0.5-427725.0,100005.45241900832,0.5-428175.0,100005.48363170715,0.5-428625.0,100005.40143084913,0.5-429075.0,100005.3916156753,0.5-429525.0,100005.33485753764,0.5-
1.0	425475.0,100005.05500000005,0.5-425925.0,100005.39066586422,0.5-426375.0,100005.48127123552,0.5-426825.0,100005.45753107325,0.5-427275.0,100005.51570773342,0.5-427725.0,100005.50066090915,0.5-428175.0,100005.53499487786,0.5-428625.0,100005.44457393404,0.5-429075.0,100005.43377724283,0.5-429525.0,100005.37134329141,0.5-
1.1	425475.0,100005.06000000006,0.5-425925.0,100005.42890821552,0.5-426375.0,100005.52775043875,0.5-426825.0,100005.5018520799,0.5-427275.0,100005.56531752736,0.5-427725.0,100005.54890280998,0.5-428175.0,100005.58635804857,0.5-428625.0,100005.48771701896,0.5-429075.0,100005.47593881036,0.5-429525.0,100005.40782904517,0.5-
1.2	425475.0,100005.06500000006,0.5-425925.0,100005.46715056681,0.5-426375.0,100005.57422964198,0.5-426825.0,100005.54617308656,0.5-427275.0,100005.61492732131,0.5-427725.0,100005.59714471082,0.5-428175.0,100005.63772121929,0.5-428625.0,100005.53086010387,0.5-429075.0,100005.51810037789,0.5-429525.0,100005.44431479894,0.5-
1.3	425475.0,100005.07000000007,0.5-425925.0,100005.5053929181,0.5-426375.0,100005.6207088452,0.5-426825.0,100005.59049409322,0.5-427275.0,100005.66453711526,0.5-427725.0,100005.64538661165,0.5-428175.0,100005.68908439,0.5-428625.0,100005.57400318878,0.5-429075.0,100005.56026194541,0.5-429525.0,100005.4808005527,0.5-
1.4	425475.0,100005.07500000007,0.5-425925.0,100005.5436352694,0.5-426375.0,100005.66718804844,0.5-426825.0,100005.63481509988,0.5-427275.0,100005.7141469092,0.5-427725.0,100005.69362851248,0.5-428175.0,100005.74044756072,0.5-428625.0,100005.6171462737,0.5-429075.0,100005.60242351294,0.5-429525.0,100005.51728630647,0.5-
1.5	425475.0,100005.08000000007,0.5-425925.0,100005.58187762069,0.5-426375.0,100005.71366725166,0.5-426825.0,100005.67913610654,0.5-427275.0,100005.76375670315,0.5-427725.0,100005.74187041332,0.5-428175.0,100005.79181073143,0.5-428625.0,100005.66028935861,0.5-429075.0,100005.64458508047,0.5-429525.0,100005.55377206023,0.5-
1.6	425475.0,100005.08500000008,0.5-425925.0,100005.62011997198,0.5-426375.0,100005.7601464549,0.5-426825.0,100005.7234571132,0.5-427275.0,100005.8133664971,0.5-427725.0,100005.79011231415,0.5-428175.0,100005.84317390215,0.5-428625.0,100005.70343244352,0.5-429075.0,100005.686746648,0.5-429525.0,100005.590257814,0.5-
1.7	425475.0,100005.09000000008,0.5-425925.0,100005.65836232327,0.5-426375.0,100005.80662565812,0.5-426825.0,100005.76777811986,0.5-427275.0,100005.86297629104,0.5-427725.0,100005.83835421498,0.5-428175.0,100005.89453707286,0.5-428625.0,100005.74657552844,0.5-429075.0,100005.72890821553,0.5-429525.0,100005.62674356776,0.5-
1.8	425475.0,100005.09500000009,0.5-425925.0,100005.69660467457,0.5-426375.0,100005.85310486135,0.5-426825.0,100005.81209912652,0.5-427275.0,100005.91258608499,0.5-427725.0,100005.88659611582,0.5-428175.0,100005.94590024358,0.5-428625.0,100005.78971861335,0.5-429075.0,100005.77106978306,0.5-429525.0,100005.66322932152,0.5-
