SSS Raw Data, F-869.525 BW-125 SF-9 CR-0.5 TPW-24 Rovers-10 CTRL-2
		 Rover
Time	0x	0y	0v	-	 1x	1y	1v	-	 2x	2y	2v	-	 3x	3y	3v	-	 4x	4y	4v	-	 5x	5y	5v	-	 6x	6y	6v	-	 7x	7y	7v	-	 8x	8y	8v	-	 9x	9y	9v	-	 
0.0	425475.0,105005.00746091436,0.24949962695428185-425925.0,105005.00863345483,0.24949956832725875-426375.0,105005.00785149826,0.24949960742508703-426825.0,105005.01000401999,0.2494994997990005-427275.0,105005.0102,0.2494994899999998-427725.0,105005.01078816582,0.24949946059170908-428175.0,105005.01059207527,0.2494994703962366-428625.0,105005.0117690535,0.24949941154732516-429075.0,105005.0125541441,0.2494993722927953-429525.0,105005.00843787291,0.24949957810635462-
0.1	425475.0,105005.01987179142,0.24949900641042916-425925.0,105005.02221686648,0.24949888915667617-426375.0,105005.02065295726,0.2510628765683388-426825.0,105005.02495798997,0.2494987521005016-427275.0,105005.025349949,0.2494987325025497-427725.0,105005.0265262777,0.24949867368611522-428175.0,105005.02613409757,0.2494986932951215-428625.0,105005.02848804815,0.2494985755975926-429075.0,105005.03005822543,0.24949849708872862-429525.0,105005.02182570363,0.2494989087148184-
0.2	425475.0,105005.03228260642,0.2494983858696789-425925.0,105005.03580021021,0.24730874295413888-426375.0,105005.03361074318,0.24949831946284104-426825.0,105005.03991188516,0.24319686242144672-427275.0,105005.04049982225,0.24949797500888746-427725.0,105005.04226431088,0.24949788678445622-428175.0,105005.04167604216,0.24949791619789177-428625.0,105005.0452069592,0.24949773965204006-429075.0,105005.04756221923,0.24949762188903843-429525.0,105005.03521346742,0.24949823932662912-
0.3	425475.0,105005.04469335936,0.24949776533203186-425925.0,105005.04916453933,0.24949754177303332-426375.0,105005.0464120734,0.2573211973934973-426825.0,105005.0542355914,0.24949728822043035-427275.0,105005.05564961975,0.24808318915885322-427725.0,105005.05800226536,0.24949709988673205-428175.0,105005.05721790905,0.2494971391045474-428625.0,105005.06192578666,0.24949690371066682-429075.0,105005.06506612552,0.249496746693724-429525.0,105005.04860116426,0.2494975699417868-
0.4	425475.0,105005.05710405025,0.24949714479748727-425925.0,105005.06274774834,0.24949686261258322-426375.0,105005.0599956914,0.2494970002154303-426825.0,105005.06918934021,0.25096513899726053-427275.0,105005.07065793868,0.24949646710306625-427725.0,105005.07374014116,0.24641411050741227-428175.0,105005.07275969823,0.2494963620150884-428625.0,105005.07864453053,0.24949606777347363-429075.0,105005.0825699443,0.24949587150278532-429525.0,105005.06198879417,0.24949690056029142-
0.5	425475.0,105005.0695146791,0.24949652426604518-425925.0,105005.07633088942,0.24949618345552882-426375.0,105005.07279688968,0.24949636015551588-426825.0,105005.0842898741,0.24949578550629523-427275.0,105005.08580758539,0.25285784224999375-427725.0,105005.08916971802,0.24949554151409903-428175.0,105005.08830140969,0.2503638932583061-428625.0,105005.0953631908,0.24949523184045977-429075.0,105005.10007367554,0.24949499631622313-429525.0,105005.07537635714,0.24949623118214295-
0.6	425475.0,105005.08192524588,0.24949590373770625-425925.0,105005.0899139626,0.24949550430187012-426375.0,105005.08559802396,0.24949572009880214-426825.0,105005.09924347264,0.24949503782636823-427275.0,105005.10129336962,0.2494949353315191-427725.0,105005.10490743798,0.24851719092722926-428175.0,105005.10392987428,0.24949480350628583-428625.0,105005.11208176748,0.2413425027132522-429075.0,105005.11757731927,0.2494941211340367-429525.0,105005.08876385317,0.24949556180734145-
0.7	425475.0,105005.0943357506,0.2494952832124698-425925.0,105005.10349696786,0.2494948251516071-426375.0,105005.09839909423,0.24949508004528836-426825.0,105005.11419699641,0.2494942901501796-427275.0,105005.11644286315,0.24949417785684275-427725.0,105005.12054732289,0.24949397263385545-428175.0,105005.11947142989,0.258007667783017-428625.0,105005.12798507125,0.24949360074643775-429075.0,105005.13508087548,0.24239744172195787-429525.0,105005.10215128226,0.24949489243588688-
0.8	425475.0,105005.10674619328,0.24949466269033585-425925.0,105005.1170799052,0.24949414600473976-426375.0,105005.11120010051,0.24949443999497453-426825.0,105005.12915044541,0.24949354247772937-427275.0,105005.13159228093,0.2494934203859535-427725.0,105005.13628488597,0.24949318575570142-428175.0,105005.13586427193,0.24949320678640363-428625.0,105005.14470348481,0.25666404376161667-429075.0,105005.15187476375,0.24949240626181274-429525.0,105005.11553864442,0.28583034239815097-
0.9	425475.0,105005.11915657391,0.24949404217130433-425925.0,105005.13066277462,0.24949346686126883-426375.0,105005.12400104277,0.24949379994786142-426825.0,105005.14410381965,0.2494927948090175-427275.0,105005.14674162297,0.24949266291885144-427725.0,105005.15202237036,0.24949239888148222-428175.0,105005.15140566787,0.24949242971660643-428625.0,105005.16213894267,0.24949189305286637-429075.0,105005.16937814846,0.2126729341943479-429525.0,105005.13255955157,0.2494933720224217-
1.0	425475.0,105005.1315668925,0.2494934216553753-425925.0,105005.14424557613,0.2494927877211936-426375.0,105005.13680192103,0.24949315990394827-426825.0,105005.15905711912,0.24949204714404405-427275.0,105005.16189088927,0.24949190545553648-427725.0,105005.16775977606,0.24949161201119716-428175.0,105005.16694698611,0.24949165265069462-428625.0,105005.17885718547,0.2494910571407265-429075.0,105005.18319958598,0.24949084002070088-429525.0,105005.14594676168,0.24949270266191598-
1.1	425475.0,105005.14397714901,0.24949280114254946-425925.0,105005.15782830972,0.24949210858451407-426375.0,105005.14960273528,0.2494925198632358-426825.0,105005.17401034382,0.249491299482809-427275.0,105005.17704007981,0.2494911479960094-427725.0,105005.18349710308,0.2494908251448462-428175.0,105005.18248822664,0.24949087558866814-428625.0,105005.19557534468,0.24949022123276593-429075.0,105005.20070281408,0.24948996485929603-429525.0,105005.15933390486,0.24949203330475722-
1.2	425475.0,105005.15638734348,0.24949218063282608-425925.0,105005.1714109754,0.24949142945123023-426375.0,105005.16240348553,0.24949187982572332-426825.0,105005.18896349375,0.2494905518253123-427275.0,105005.19218919461,0.24949039054026945-427725.0,105005.1992343514,0.24949003828243005-428175.0,105005.19802938946,0.24949009853052703-428625.0,105005.21229342029,0.24948938532898537-429075.0,105005.21820595466,0.24948908970226694-429525.0,105005.17272098109,0.2494913639509454-
1.3	425475.0,105005.1687974759,0.24949156012620516-425925.0,105005.18499357316,0.24949075032134208-426375.0,105005.17520417178,0.24949123979141077-426825.0,105005.20391656893,0.24948980417155328-427275.0,105005.20733823367,0.24948963308831665-427725.0,105005.21497152104,0.249489251423948-428175.0,105005.21357047457,0.24948932147627131-428625.0,105005.22901141232,0.24948854942938417-429075.0,105005.23570900773,0.24948821454961365-429525.0,105005.1861079904,0.2494906946004798-
1.4	425475.0,105005.18120754627,0.24949093962268673-425925.0,105005.19857610302,0.24949007119484887-426375.0,105005.18800479404,0.24949059976029822-426825.0,105005.21886956935,0.24948905652153264-427275.0,105005.22248719698,0.24948887564015096-427725.0,105005.230708612,0.2494884645694001-428175.0,105005.22911148198,0.24948854442590093-428625.0,105005.24572932076,0.24948771353396224-429075.0,105005.25321197328,0.24948733940133608-429525.0,105005.19949493278,0.24949002525336111-
1.5	425475.0,105005.19361755459,0.24949031912227074-425925.0,105005.21215856497,0.24948939207175136-426375.0,105005.20080535227,0.24948995973238636-426825.0,105005.23382249499,0.2494883088752504-427275.0,105005.23763608455,0.2494881181957724-427725.0,105005.24644562426,0.24948767771878702-428175.0,105005.24465241168,0.24948776737941591-428625.0,105005.26244714561,0.24948687764271965-429075.0,105005.27071485131,0.2494864642574343-429525.0,105005.21288180821,0.24948935590958937-
1.6	425475.0,105005.20602750086,0.24948969862495723-425925.0,105005.22574095901,0.24948871295204955-426375.0,105005.21360584651,0.24948931970767446-426825.0,105005.24877534587,0.24948756123270652-427275.0,105005.25278489637,0.24948736075518174-427725.0,105005.26218255784,0.24948689087210807-428175.0,105005.26019326369,0.2494869903368155-428625.0,105005.27916488686,0.24948604175565708-429075.0,105005.28821764184,0.24948558911790825-429525.0,105005.22626861672,0.24948868656916384-
1.7	425475.0,105005.21843738508,0.24948907813074622-425925.0,105005.23932328513,0.24948803383574342-426375.0,105005.22640627675,0.2494886796861625-426825.0,105005.26372812198,0.24948681359390104-427275.0,105005.26793363244,0.2494866033183782-427725.0,105005.27791941274,0.24948610402936322-428175.0,105005.27573403799,0.2494862132981005-428625.0,105005.29588254452,0.2494852058727738-429075.0,105005.30572034484,0.24948471398275798-429525.0,105005.2396553583,0.24948801723208527-
1.8	425475.0,105005.23084720725,0.24948845763963765-425925.0,105005.25290554334,0.24948735472283298-426375.0,105005.23920664299,0.24948803966785055-426825.0,105005.27868082334,0.24948606595883321-427275.0,105005.28308229276,0.2494858458853618-427725.0,105005.29365618895,0.24948531719055247-428175.0,105005.29127473458,0.24948543626327083-428625.0,105005.3126001186,0.24948436999406987-429075.0,105005.32322296033,0.24948383885198347-429525.0,105005.25304203293,0.24948734789835364-
